"Pattern","File","LineNumber","Line"
"createClient","app\login\forgot\page.tsx","5","import { createClient } from ""../../lib/supabaseBrowserClient"";"
"createClient","app\login\forgot\page.tsx","8","const supabase = createClient();"
"createClient","app\login\page.tsx","7","import { createClient } from ""../../lib/supabaseBrowserClient"";"
"createClient","app\login\page.tsx","11","const supabase = createClient();"
"createClient","app\login\register\page.tsx","6","import { createClient } from ""../../lib/supabaseBrowserClient"";"
"createClient","app\login\register\page.tsx","21","const supabase = createClient();"
"createClient","backend\index.js","15","const { createClient } = require(""@supabase/supabase-js"");"
"createClient","backend\index.js","30","const supabase = createClient(SUPABASE_URL, SUPABASE_KEY, {"
"createClient","frontend\app\api\(debug)\debug\supabase\route.ts","3","import { createClient } from ""@supabase/supabase-js"";"
"createClient","frontend\app\api\(debug)\debug\supabase\route.ts","41","const client = createClient(url, serviceRole, {"
"createClient","frontend\app\components\RatingStars.tsx","4","import { createClientComponentClient } from '@supabase/auth-helpers-nextjs';"
"createClient","frontend\app\components\RatingStars.tsx","19","const supabase = createClientComponentClient();"
"createClient","frontend\app\components\RatingSummary.tsx","4","import { createClientComponentClient } from '@supabase/auth-helpers-nextjs';"
"createClient","frontend\app\components\RatingSummary.tsx","13","const supabase = createClientComponentClient();"
"createClient","frontend\app\components\SupabaseProvider.tsx","6","import { createClientComponentClient } from '@supabase/auth-helpers-nextjs';"
"createClient","frontend\app\components\SupabaseProvider.tsx","9","const supabase = useMemo(() => createClientComponentClient(), []);"
"createClient","frontend\app\components\TopBar.tsx","8","import { createClientComponentClient } from '@supabase/auth-helpers-nextjs';"
"createClient","frontend\app\components\TopBar.tsx","19","const supabase = createClientComponentClient();"
"createClient","frontend\app\landing\ADMIN\page.tsx","5","import { createClientComponentClient } from ""@supabase/auth-helpers-nextjs"";"
"createClient","frontend\app\landing\ADMIN\page.tsx","33","const supabase = createClientComponentClient();"
"createClient","frontend\app\landing\FAN\page.tsx","5","import { createClientComponentClient } from ""@supabase/auth-helpers-nextjs"";"
"createClient","frontend\app\landing\FAN\page.tsx","22","const supabase = createClientComponentClient();"
"createClient","frontend\app\landing\MOD\page.tsx","5","import { createClientComponentClient } from ""@supabase/auth-helpers-nextjs"";"
"createClient","frontend\app\landing\MOD\page.tsx","22","const supabase = createClientComponentClient();"
"createClient","frontend\app\landing\RESEARCH\page.tsx","5","import { createClientComponentClient } from ""@supabase/auth-helpers-nextjs"";"
"createClient","frontend\app\landing\RESEARCH\page.tsx","22","const supabase = createClientComponentClient();"
"createClient","frontend\app\landing\STUD_HIGH\page.tsx","5","import { createClientComponentClient } from ""@supabase/auth-helpers-nextjs"";"
"createClient","frontend\app\landing\STUD_HIGH\page.tsx","52","const supabase = createClientComponentClient();"
"createClient","frontend\app\landing\STUD_MIDDLE\page.tsx","5","import { createClientComponentClient } from ""@supabase/auth-helpers-nextjs"";"
"createClient","frontend\app\landing\STUD_MIDDLE\page.tsx","41","const supabase = createClientComponentClient();"
"createClient","frontend\app\landing\STUD_PRIMARY\page.tsx","5","import { createClientComponentClient } from ""@supabase/auth-helpers-nextjs"";"
"createClient","frontend\app\landing\STUD_PRIMARY\page.tsx","25","const supabase = createClientComponentClient();"
"createClient","frontend\app\login\forgot\page.tsx","10","import { createClient } from ""@supabase/supabase-js"";"
"createClient","frontend\app\login\forgot\page.tsx","22","return createClient(url, key);"
"createClient","frontend\app\login\page.tsx","10","import { createClientComponentClient } from ""@supabase/auth-helpers-nextjs"";"
"createClient","frontend\app\login\page.tsx","31","async function ensureProfile(user: User, supabase: ReturnType<typeof createClientComponentClient>) {"
"createClient","frontend\app\login\page.tsx","70","async function fetchPersona(personaId: string | null, supabase: ReturnType<typeof createClientComponentClient>) {"
"createClient","frontend\app\login\page.tsx","104","async function resolveLanding(user: User, supabase: ReturnType<typeof createClientComponentClient>) {"
"createClient","frontend\app\login\page.tsx","125","const supabase = createClientComponentClient();"
"createClient","frontend\app\login\register\page.tsx","9","import { createClient } from ""@supabase/supabase-js"";"
"createClient","frontend\app\login\register\page.tsx","26","return createClient(url, key);"
"createClient","frontend\app\module\build-journey\actions.ts","21","import { createClient } from ""@/lib/supabaseServerClient"";"
"createClient","frontend\app\module\build-journey\actions.ts","44","return createClient();"
"createClient","frontend\app\module\favourites\page.tsx","7","import { createClient } from ""@/lib/supabase/client"";"
"createClient","frontend\app\module\favourites\page.tsx","26","const supabase = useMemo(() => createClient(), []);"
"createClient","frontend\app\module\NewJourney\page.tsx","4","import { createClient } from '@/lib/supabaseServerClient';"
"createClient","frontend\app\module\NewJourney\page.tsx","26","const supabase = createClient();"
"createClient","frontend\app\module\settings\page.tsx","6","import { createClientComponentClient } from '@supabase/auth-helpers-nextjs';"
"createClient","frontend\app\module\settings\page.tsx","33","const supabase = createClientComponentClient();"
"createClient","frontend\app\module\timeline\page_inner.tsx","7","import { createClient } from ""@/lib/supabase/client"";"
"createClient","frontend\app\module\timeline\page_inner.tsx","68","const supabase = useMemo(() => createClient(), []);"
"createClient","frontend\app\page.tsx","6","import { createClientComponentClient } from ""@supabase/auth-helpers-nextjs"";"
"createClient","frontend\app\page.tsx","10","const supabase = createClientComponentClient();"
"createClient","frontend\Archive\20250924%20src-app\src\app\api\options\route.js","5","import { createClient } from ""@supabase/supabase-js"";"
"createClient","frontend\Archive\20250924%20src-app\src\app\api\options\route.js","8","const supabase = createClient("
"createClient","frontend\Archive\20250924%20src-app\src\lib\supabaseBrowserClient.ts","2","import { createClient } from ""@supabase/supabase-js"";"
"createClient","frontend\Archive\20250924%20src-app\src\lib\supabaseBrowserClient.ts","7","export const supabase = createClient(supabaseUrl, supabaseAnonKey);"
"createServerClient","frontend\Archive\20250924%20src-app\src\lib\supabaseServerClient.ts","3","import { createServerClient } from ""@supabase/ssr"";"
"createServerClient","frontend\Archive\20250924%20src-app\src\lib\supabaseServerClient.ts","7","return createServerClient("
"createClient","frontend\Archive\scripts\authFixConfirmAndSetPasswords.ts","5","import { createClient } from ""@supabase/supabase-js"";"
"createClient","frontend\Archive\scripts\authFixConfirmAndSetPasswords.ts","16","const supabase = createClient(SUPABASE_URL, SERVICE_ROLE, {"
"createClient","frontend\Archive\scripts\seedTestUsers.ts","8","import { createClient } from ""@supabase/supabase-js"";"
"createClient","frontend\Archive\scripts\seedTestUsers.ts","22","const supabase = createClient(SUPABASE_URL, SERVICE_ROLE, {"
"createClient","frontend\Archive\supabaseClient.ts","4","import { createClientComponentClient } from ""@supabase/auth-helpers-nextjs"";"
"createClient","frontend\Archive\supabaseClient.ts","7","export const supabase = createClientComponentClient<Database>();"
"createClient","frontend\lib\groupEventsLocalized.ts","2","import { createClient } from ""@/lib/supabase/server"";"
"createClient","frontend\lib\groupEventsLocalized.ts","34","const supabase = createClient();"
"createClient","frontend\lib\groupEventsLocalized.ts","60","const supabase = createClient();"
"createClient","frontend\lib\i18n\setDbLocale.ts","2","import { createClient } from ""@/lib/supabase/server"";"
"createClient","frontend\lib\i18n\setDbLocale.ts","10","const supabase = createClient();"
"createClient","frontend\lib\supabase\client.ts","4","import { createClientComponentClient } from '@supabase/auth-helpers-nextjs';"
"createClient","frontend\lib\supabase\client.ts","7","export function createClient() {"
"createClient","frontend\lib\supabase\client.ts","8","return createClientComponentClient();"
"createServerClient","frontend\lib\supabase\server.ts","6","export function createServerClient() {"
"createClient","frontend\lib\supabaseAdmin.ts","3","import { createClient } from ""@supabase/supabase-js"";"
"createClient","frontend\lib\supabaseAdmin.ts","60","export const supabaseAdmin = createClient(supabaseUrl, resolved.key, {"
"createClient","frontend\lib\supabaseBrowserClient.ts","4","import { createClient, SupabaseClient } from ""@supabase/supabase-js"";"
"createClient","frontend\lib\supabaseBrowserClient.ts","47","return createClient(SUPABASE_URL!, SUPABASE_ANON_KEY!);"
"createClient","frontend\lib\supabaseBrowserClient.ts","56","? createClient(SUPABASE_URL!, SUPABASE_ANON_KEY!, {"
"createClient","frontend\lib\supabaseBrowserClient.ts","60",": createClient(SUPABASE_URL!, SUPABASE_ANON_KEY!, {"
"createClient","frontend\lib\SupabaseProvider.tsx","5","import { createClientComponentClient, SupabaseClient } from '@supabase/auth-helpers-nextjs';"
"createClient","frontend\lib\SupabaseProvider.tsx","17","const [supabaseClient] = useState(() => createClientComponentClient());"
"createClient","frontend\lib\supabaseServerClient.ts","5","import { createClient as createAdminClient } from ""@supabase/supabase-js"";"
"createServerClient","frontend\lib\supabaseServerClient.ts","6","import { createServerClient, type CookieOptions } from ""@supabase/ssr"";"
"createServerClient","frontend\lib\supabaseServerClient.ts","119","return createServerClient(supabaseUrl!, anonKey!, {"
"createServerClient","frontend\lib\supabaseServerClient.ts","145","return createServerClient(supabaseUrl!, anonKey!, {"
"createServerClient","frontend\lib\supabaseServerClient.ts","155","return createServerClient(supabaseUrl!, anonKey!, { cookies: {"
"createClient","frontend\lib\supabaseServerClient.ts","165","*   import { createClient } from '@/lib/supabaseServerClient'"
"createClient","frontend\lib\supabaseServerClient.ts","168","export function createClient(): SupabaseClient {"
"createClient","restore_backups\backend-old-20250911-223645\index.js","15","const { createClient } = require(""@supabase/supabase-js"");"
"createClient","restore_backups\backend-old-20250911-223645\index.js","30","const supabase = createClient(SUPABASE_URL, SUPABASE_KEY, {"
"createClient","restore_backups\frontend-old-20250911-223645\src\app\api\options\route.js","5","import { createClient } from ""@supabase/supabase-js"";"
"createClient","restore_backups\frontend-old-20250911-223645\src\app\api\options\route.js","8","const supabase = createClient("
"createClient","test-login.js","1","const { createClient } = require(""@supabase/supabase-js"");"
"createClient","test-login.js","6","const supabase = createClient(SUPABASE_URL, SUPABASE_ANON_KEY);"
